City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,ingeniero jacobacci,-41.3427,-69.5448,6.56,61,14,7.01,AR,1694212620
308,saint-pierre,-21.3393,55.4781,18.82,59,40,2.57,RE,1694212620
309,caluula,11.9661,50.7569,30.15,67,33,2.46,SO,1694212620
310,bangassou,4.7413,22.8184,20.01,92,67,0.96,CF,1694212620
311,fort st. john,56.2499,-120.8529,19.94,26,40,2.06,CA,1694212521
312,petrovsk-zabaykal'skiy,51.273,108.843,7.75,92,84,1.14,RU,1694212389
313,nar'yan-mar,67.6713,53.087,6.9,90,56,2.16,RU,1694212396
314,luderitz,-26.6481,15.1594,15.8,68,33,0.95,NA,1694212621
315,ghadamis,30.1337,9.5007,26.13,43,0,6.37,LY,1694212621
316,mafinga,-7.25,35.0667,21.94,49,63,2.06,TZ,1694212621
317,mogocha,53.7333,119.7667,7.0,68,98,1.1,RU,1694212622
318,san antonio de pale,-1.4014,5.6325,23.56,87,58,6.41,GQ,1694212622
319,sokoto,13.0609,5.239,29.58,57,47,5.02,NG,1694212551
320,sasovo,54.3537,41.9199,7.48,94,100,4.98,RU,1694212622
321,nieuw amsterdam,5.8833,-55.0833,31.19,66,20,1.03,SR,1694212622
322,port elizabeth,-33.918,25.5701,11.16,100,0,1.54,ZA,1694212623
323,mvomero,-6.25,38.6667,21.17,94,33,1.51,TZ,1694212623
324,inirida,3.8653,-67.9239,24.91,88,95,1.29,CO,1694212623
325,prabumulih,-3.45,104.25,22.09,99,14,1.26,ID,1694212623
326,zonguldak,41.25,31.8333,12.73,96,13,1.08,TR,1694212583
327,bosaso,11.2842,49.1816,33.34,44,70,7.09,SO,1694212624
328,brookings,44.3114,-96.7984,29.58,44,0,2.57,US,1694212377
329,lakatoro,-16.0999,167.4164,25.64,71,100,6.33,VU,1694212624
330,outokumpu,62.7269,29.0159,12.94,96,19,2.06,FI,1694212624
331,singkil,-7.9855,111.4161,20.05,87,4,2.1,ID,1694212624
332,kisangani,0.5167,25.2,22.29,89,51,1.3,CD,1694212625
333,wanxian,30.8039,108.3897,25.34,80,19,1.33,CN,1694212625
334,cooma,-36.2333,149.1333,5.7,49,16,2.69,AU,1694212625
335,la'ie,21.6477,-157.9253,31.98,65,41,4.02,US,1694212625
336,madugula,17.9167,82.8,25.51,92,93,1.49,IN,1694212626
337,fale old settlement,-9.3852,-171.2468,27.83,76,86,3.88,TK,1694212626
338,knoxville,35.9606,-83.9207,28.84,73,75,4.63,US,1694212429
339,sorong,-0.8833,131.25,26.38,84,100,5.76,ID,1694212626
340,wabag,-5.4781,143.7021,17.38,82,100,0.79,PG,1694212626
341,hancheng,32.5186,112.3522,24.56,75,35,1.61,CN,1694212627
342,turiacu,-1.6633,-45.3717,25.01,87,55,2.56,BR,1694212627
343,tharandt,50.9833,13.5833,19.97,77,9,2.89,DE,1694212627
344,elliot lake,46.3834,-82.6331,16.16,53,0,1.53,CA,1694212561
345,namtsy,62.7161,129.6658,2.69,79,100,4.75,RU,1694212401
346,nicoya,10.1483,-85.452,27.55,83,94,1.58,CR,1694212348
347,jaciara,-15.9653,-54.9683,31.97,34,50,2.58,BR,1694212628
348,klyuchi,52.2667,79.1667,11.52,65,35,3.55,RU,1694212628
349,kampene,-3.6,26.6667,21.29,91,61,1.1,CD,1694212630
350,palmares do sul,-30.2578,-50.5097,16.36,94,100,2.15,BR,1694212420
351,mana,5.6592,-53.7767,27.23,79,14,6.57,GF,1694212630
352,oodweyne,9.4092,45.064,25.2,51,98,7.19,SO,1694212630
353,darwin,-12.4611,130.8418,26.05,79,0,3.09,AU,1694212630
354,solsona,41.994,1.5171,19.45,67,8,1.64,ES,1694212630
355,bahawalpur,29.4,71.6833,32.03,28,6,3.31,PK,1694212631
356,trincomalee,8.5711,81.2335,27.27,74,100,8.8,LK,1694212631
357,bloemfontein,-29.1211,26.214,6.71,49,3,0.0,ZA,1694212631
358,mejit,10.2753,170.8646,28.35,74,38,2.85,MH,1694212631
359,mariental,-24.6333,17.9667,22.08,16,0,3.67,NA,1694212631
360,caleta de carquin,-11.0925,-77.6267,19.47,79,11,4.91,PE,1694212632
361,sao desiderio,-12.3633,-44.9733,24.58,30,0,2.4,BR,1694212632
362,shache,38.4167,77.2406,21.87,24,10,3.74,CN,1694212632
